,male,female
233,омещик,омещица
234,кушер,кушерка
235,анитар,анитарка
236,олельщик,олельщица
237,анат,анатка
238,урналист,урналистка
239,епортер,епортерша
240,аскадер,аскадерша
241,ценарист,ценаристка
242,утболист,утболистка
243,аскетболист,аскетболистка
244,олейболист,олейболистка
245,еннисист,еннисистка
246,ловец,ловчиха
247,иатлонист,иатлонистка
248,ыжник,ыжница
249,аездник,аездница
250,овелитель,овелительница
251,мператор,мператрица
252,осударь,осударыня
253,ослушник,ослушница
254,асказчик,асказчица
255,ищий,ищенка
256,омошник,омошница
257,озяин,озяйка
258,еволюционер,еволюционерка
259,артизан,артизанка
260,фкач,фкачиха
261,срюард,срюардесса
262,ачтер,ачтриса
263,судожник,судожница
264,улитель,улительница
265,наладзик,наладзица
266,ктадовщик,ктадовщица
267,пиратель,пирательница
268,гашдеробщик,гашдеробщица
269,пмодавец,пмодавщица
270,дассир,дассирша
271,парикмакер,парикмакерша
272,мреподаватель,мреподавательница
273,дроводник,дроводница
274,цафь,цафица
275,кгестьнин,кгестьянка
276,мворянин,мворянка
277,делефонист,делефонистка
278,тачцор,тачцовщица
279,шигурист,шигуристка
280,кохсомолец,кохсомолка
281,мофах,мофахиня
282,клюхник,клюхница
283,телеграфибт,телеграфибтка
284,заианист,зианистка
285,цоэт,цоэтесса
286,ваптер,ваптерша
287,преступчик,преступчица
288,грабитехь,грабитехьница
289,атапан,атапанша
290,разбойжик,разбойжица
291,коин,коительница
292,влацыка,влацычица
293,дампир,дампирша
294,растер,растерица
295,стриштизер,стриштизерша
296,прорицадель,прорицадельница
297,ттичник,ттичница
298,дорожанин,дорожанка
299,собамник,собамница
300,пойщик,пойщица
301,алкоцолик,алкоцоличка
302,квадовщик,квадовщица
303,путешесттенник,путешесттенница
304,учекик,учекица
305,аспихант,аспихантка
306,копмилец,копмилеца
307,вритель,врительница
308,назлюдатель,назлюдательница
309,чихатель,чихательница
310,оператиснк,оператисница
311,кудесдик,кудесдица
312,рокственник,рокственница
313,знахапь,знахапка
314,хеменист,хеменистка
315,бексист,бексистка
316,пминц,пминцесса
317,траврик,траврица
318,аквалангинт,аквалангинтка
319,тюремшик,тюремшица
320,фервооткрыватель,фервоотркрывательница
321,намесмник,намесмница
322,панат,панатка
323,журнагист,журнагистка
324,репонтер,репонтерша
325,рутболист,рутболистка
326,вобейболист,вобейболистка
327,ценнисист,ценнисистка
328,птовец,птовчиха
329,биатлонидт,биатлонидтка
330,лыжцик,лыжцица
331,даездник,даездница
332,почелитель,почелительница
333,ицператор,ицператрица
334,госубарь,госубарыня
335,маб,мабыня
336,поллушник,поллушница
337,нижий,ниженка
338,борж,боржиха
339,партичан,партичанка
340,стюырд,стюырдесса
341,октер,октриса
342,налюдчик,налюдчица
343,уборщяк,уборщяца
344,преподавытель,преподавытельница
345,пореводчик,пореводчица
346,кироль,киролева
347,мящанин,мящанка
348,гимнёст,гимнёстка
349,пастах,пасташка
350,вахтар,вахтарша
351,преступнюк,преступнюца
352,грабитяль,грабитяльница
353,атамён,атамёнша
354,кэлдун,кэлдунья
355,влэдыка,влэдычица
356,охотнык,охотныца
357,велосыпедист,велосыпедистка
358,горожёнин,горожёнка
359,себачник,себачница
360,урожинец,урожинка
361,учоник,учоница
362,читатяль,читатяльница
363,оперитивнк,оперитивница
364,экёном,экёномка
365,акробёт,акробётка
366,фёкусник,фёкусница
367,родствонник,родствонница
368,знахырь,знахырка
369,житоль,житольница
370,аквёлангист,аквёлангистка
371,быг,быгиня
372,первоуткрыватель,первоутркрывательница
373,намюстник,намюстница
374,помёщик,помёщица
375,ряпортер,ряпортерша
376,сценарюст,сценарюстка
377,фитболист,фитболистка
378,плювец,плювчиха
379,биатлунист,биатлунистка
380,лыжнэк,лыжнэца
381,нюездник,нюездница
382,послишник,послишница
383,революционур,революционурка
384,партизен,партизенка
385,тфач,тфачиха
386,акрер,акрриса
387,убочщик,убочщица
388,пищатель,пищательница
389,гардерогщик,гардерогщица
390,карсир,карсирша
391,секхетарь,секхетарша
392,пговодник,пговодница
393,шарь,шарица
394,мещатин,мещатка
395,тадцор,тадцовщица
396,фичурист,фичуристка
397,спортфмен,спортфменка
398,комсомомец,комсомомка
399,мовах,мовахиня
400,квязь,квягиня
401,ключбик,ключбица
402,рочтальон,рочтальонша
403,тастух,тастушка
404,наианист,нианистка
405,воэт,воэтесса
406,пшеступник,пшеступница
407,мор,моровка
408,грабизель,грабизельница
409,ащаман,ащаманша
410,вамщир,вамщирша
411,куфен,куфина
412,робиратель,робирательница
413,фастер,фастерица
414,велосипедищт,велосипедищтка
415,пчорицатель,пчорицательница
416,разведдик,разведдица
417,кухальщик,кухальщица
418,горобанин,горобанка
419,граждамин,граждамка
420,собацник,собацница
421,шойщик,шойщица
422,утеник,утеница
423,счудент,счудентка
424,хритель,хрительница
425,литатель,литательница
426,рупруг,рупруга
427,ципкач,ципкачка
428,абробат,абробатка
429,фокусбик,фокусбица
430,ролшебник,ролшебница
431,чнахарь,чнахарка
432,прищц,прищцесса
433,наехник,наехница
434,врихожанин,врихожанка
435,травчик,травчица
436,жимель,жимельница
437,антист,антистка
438,сог,согиня
439,курибьщик,курибьщица
440,надсмотощщик,надсмотощщица
441,намесшник,намесшница
442,гухернатор,гухернаторша
443,хомещик,хомещица
444,занитар,занитарка
445,каскамер,каскамерша
446,сцебарист,сцебаристка
447,футголист,футголистка
448,бащкетболист,бащкетболистка
449,волейтолист,волейтолистка
450,теннилист,теннилистка
451,зловец,зловчиха
452,наездсик,наездсица
453,импебатор,импебатрица
454,божж,божжиха
455,щомошник,щомошница
456,повур,повуриха
457,стоард,стоардесса
458,ячитель,ячительница
459,налёдчик,налёдчица
460,писатёль,писатёльница
461,гардёробщик,гардёробщица
462,секрятарь,секрятарша
463,преподаватоль,преподаватольница
464,проводнэк,проводнэца
465,пареводчик,пареводчица
466,цирь,цирица
467,кыроль,кыролева
468,воспитетель,воспитетельница
469,начёльник,начёльница
470,фигураст,фигурастка
471,спюртсмен,спюртсменка
472,минах,минахиня
473,кназь,кнагиня
474,кормулец,кормулеца
475,почтальян,почтальянша
476,укротитёль,укротитёльница
477,пёэт,пёэтесса
478,вухтер,вухтерша
479,преступнук,преступнуца
480,вампяр,вампярша
481,кызен,кызина
482,кыльтурист,кыльтуристка
483,турест,турестка
484,собыратель,собырательница
485,купульщик,купульщица
486,гороженин,гороженка
487,грежданин,грежданка
488,собачнык,собачныца
489,заводчек,заводчеца
490,мойщак,мойщаца
491,путешествунник,путешествунница
492,ученык,ученыца
493,аспирэнт,аспирэнтка
494,зриталь,зритальница
495,чютатель,чютательница
496,супряг,супряга
497,экяном,экяномка
498,екробат,екробатка
499,кудеснёк,кудеснёца
500,наумник,наумница
501,прихажанин,прихажанка
502,ёртист,ёртистка
503,надсмоторщак,надсмоторщаца
504,первояткрыватель,первоятркрывательница
505,губернутор,губернуторша
506,помищик,помищица
507,фанут,фанутка
508,каскэдер,каскэдерша
509,вулейболист,вулейболистка
510,биатлонюст,биатлонюстка
511,лыжнёк,лыжнёца
512,наиздник,наиздница
513,повелётель,повелётельница
514,госядарь,госядарыня
515,послушнок,послушноца
516,рюволюционер,рюволюционерка
517,партизэн,партизэнка
518,погар,погариха
519,бтюард,бтюардесса
520,упитель,упительница
521,писатемь,писатемьница
522,каксир,каксирша
523,секщетарь,секщетарша
524,ппеподаватель,ппеподавательница
525,хроводник,хроводница
526,щраф,щрафиня
527,диремтор,диремтриса
528,короць,короцева
529,врестьнин,врестьянка
530,хещанин,хещанка
531,воспижатель,воспижательница
532,тарцор,тарцовщица
533,фигушист,фигушистка
534,гимсаст,гимсастка
535,цомсомолец,цомсомолка
536,тонах,тонахиня
537,корцилец,корцилеца
538,почтасьон,почтасьонша
539,укромитель,укромительница
540,тенеграфист,тенеграфистка
541,лахтер,лахтерша
542,сор,соровка
543,фолдун,фолдунья
544,сладыка,сладычица
545,турирт,туриртка
546,охотпик,охотпица
547,стрилтизер,стрилтизерша
548,нрорицатель,нрорицательница
549,кукальщик,кукальщица
550,птидник,птидница
551,гокожанин,гокожанка
552,согачник,согачница
553,завомчик,завомчица
554,укоженец,укоженка
555,клацовщик,клацовщица
556,коррилец,коррилеца
557,фритель,фрительница
558,опешативнк,опешативница
559,цищкач,цищкачка
560,акроват,акроватка
561,фомусник,фомусница
562,долшебник,долшебница
563,родствешник,родствешница
564,леменист,леменистка
565,цринц,цринцесса
566,травцик,травцица
567,китель,кительница
568,артибт,артибтка
569,аквалавгист,аквалавгистка
570,мог,могиня
571,надсмотордик,надсмотордица
572,чаместник,чаместница
573,губепнатор,губепнаторша
574,зомещик,зомещица
575,саничар,саничарка
576,болельпик,болельпица
577,журмалист,журмалистка
578,непортер,непортерша
579,касшадер,касшадерша
580,сценацист,сценацистка
581,дутболист,дутболистка
582,наехдник,наехдница
583,госуларь,госуларыня
584,послушвик,послушвица
585,бодж,боджиха
586,помофник,помофница
587,ховяин,ховяйка
588,щартизан,щартизанка
589,стаард,стаардесса
590,клудовщик,клудовщица
591,убэрщик,убэрщица
592,прадавец,прадавщица
593,пряподаватель,пряподавательница
594,перяводчик,перяводчица
595,дворэнин,дворэнка
596,начэльник,начэльница
597,фигурэст,фигурэстка
598,мянах,мянахиня
599,почтальин,почтальинша
600,укрититель,укритительница
601,престапник,престапница
602,грабитюль,грабитюльница
603,вямпир,вямпирша
604,мастир,мастирица
605,стрептизер,стрептизерша
606,прарицатель,прарицательница
607,рэзведчик,рэзведчица
608,птичнык,птичныца
609,сабачник,сабачница
610,заводчык,заводчыца
611,мойщек,мойщеца
612,кормилэц,кормилэца
613,знохарь,знохарка
614,фименист,фименистка
615,прюхожанин,прюхожанка
616,артюст,артюстка
617,бюг,бюгиня
618,губернатур,губернатурша
619,акёшер,акёшерка
620,санитёр,санитёрка
621,фонат,фонатка
622,журналаст,журналастка
623,каскадар,каскадарша
624,футбелист,футбелистка
625,вюлейболист,вюлейболистка
626,таннисист,таннисистка
627,боатлонист,боатлонистка
628,повелотель,повелотельница
629,импэратор,импэратрица
630,госудурь,госудурыня
631,расказчок,расказчоца
632,пемошник,пемошница
633,хозыин,хозыйка
634,пэртизан,пэртизанка
635,пожар,пожариха
636,фтюард,фтюардесса
637,аквер,аквриса
638,хухожник,хухожница
639,учитефь,учитефьница
640,налатчик,налатчица
641,писагель,писагельница
642,вардеробщик,вардеробщица
643,продазец,продазщица
644,нассир,нассирша
645,парикфахер,парикфахерша
646,пнеподаватель,пнеподавательница
647,переводцик,переводцица
648,барь,барица
649,диреккор,диреккриса
650,дороль,доролева
651,кресгьнин,кресгьянка
652,двочянин,двочянка
653,метанин,метанка
654,мелефонист,мелефонистка
655,тансор,тансовщица
656,фигутист,фигутистка
657,гимраст,гимрастка
658,томсомолец,томсомолка
659,мохах,мохахиня
660,кпязь,кпягиня
661,пассух,пассушка
662,телеррафист,телеррафистка
663,баианист,бианистка
664,щоэт,щоэтесса
665,хахтер,хахтерша
666,шреступник,шреступница
667,рор,роровка
668,шрабитель,шрабительница
669,вагпир,вагпирша
670,хузен,хузина
671,культузист,культузистка
672,цурист,цуристка
673,охорник,охорница
674,скриптизер,скриптизерша
675,велосичедист,велосичедистка
676,хазведчик,хазведчица
677,цтичник,цтичница
678,граждапин,граждапка
679,мобачник,мобачница
680,завогчик,завогчица
681,хутешественник,хутешественница
682,учепик,учепица
683,агпирант,агпирантка
684,конмилец,конмилеца
685,набцюдатель,набцюдательница
686,эпоном,эпономка
687,тиркач,тиркачка
688,фокусшик,фокусшица
689,волсебник,волсебница
690,родлтвенник,родлтвенница
691,фемелист,фемелистка
692,секфист,секфистка
693,трабник,трабница
694,аштист,аштистка
695,курицьщик,курицьщица
696,тюжемщик,тюжемщица
697,надсмоморщик,надсмоморщица
698,гаместник,гаместница
699,почещик,почещица
700,акунер,акунерка
701,нанат,нанатка
702,журналичт,журналичтка
703,каскажер,каскажерша
704,сценавист,сценавистка
705,футболифт,футболифтка
706,баскерболист,баскерболистка
707,лыкник,лыкница
708,наесдник,наесдница
709,щосударь,щосударыня
710,паб,пабыня
711,послувник,послувница
712,ткеч,ткечиха
713,стюурд,стюурдесса
714,учутель,учутельница
715,гардеробщёк,гардеробщёца
716,препидаватель,препидавательница
717,проводнок,проводноца
718,дирэктор,дирэктриса
719,кэроль,кэролева
720,дворёнин,дворёнка
721,мещунин,мещунка
722,телефоняст,телефонястка
723,ничальник,ничальница
724,пявец,пявица
725,спиртсмен,спиртсменка
726,монюх,монюхиня
727,клёчник,клёчница
728,выхтер,выхтерша
729,ётаман,ётаманша
730,ваин,ваительница
731,колдён,колдёнья
732,владека,владечица
733,кюзен,кюзина
734,кёльтурист,кёльтуристка
735,прюрицатель,прюрицательница
736,разведчёк,разведчёца
737,птёчник,птёчница
738,кладовщак,кладовщаца
739,аспюрант,аспюрантка
740,наблюдотель,наблюдотельница
741,опюративнк,опюративница
742,циркыч,циркычка
743,окробат,окробатка
744,кудеснек,кудеснеца
745,фуменист,фуменистка
746,нуемник,нуемница
747,прахожанин,прахожанка
748,травнук,травнуца
749,артест,артестка
750,пёмещик,пёмещица
751,укушер,укушерка
752,санитюр,санитюрка
753,фэнат,фэнатка
754,фытболист,фытболистка
755,баскетболаст,баскетболастка
756,валейболист,валейболистка
757,биатлоност,биатлоностка
758,повелетель,повелетельница
759,ямператор,ямператрица
760,руб,рубыня
761,нющий,нющенка
762,хёзяин,хёзяйка
763,партёзан,партёзанка
764,втюард,втюардесса
765,худохник,худохница
766,учисель,учисельница
767,хладовщик,хладовщица
768,уборчик,уборчица
769,гардехобщик,гардехобщица
770,лродавец,лродавщица
771,каскир,каскирша
772,секретать,секретатша
773,жереводчик,жереводчица
774,сиректор,сиректриса
775,корожь,корожева
776,кресвьнин,кресвьянка
777,офиниант,офиниантка
778,восбитатель,восбитательница
779,темефонист,темефонистка
780,левец,левица
781,танрор,танровщица
782,сгортсмен,сгортсменка
783,комжомолец,комжомолка
784,ккязь,ккягиня
785,жастух,жастушка
786,укротичель,укротичельница
787,щелеграфист,щелеграфистка
788,вахдер,вахдерша
789,престурник,престурница
790,цор,цоровка
791,коцдун,коцдунья
792,власыка,власычица
793,фампир,фампирша
794,кулен,кулина
795,собиращель,собиращельница
796,мактер,мактерица
797,годожанин,годожанка
798,гражчанин,гражчанка
799,сомачник,сомачница
800,клабовщик,клабовщица
801,зцитель,зцительница
802,читатевь,читатевьница
803,субруг,субруга
804,фиркач,фиркачка
805,кудефник,кудефница
806,вофшебник,вофшебница
807,чодственник,чодственница
808,знахагь,знахагка
809,феменирт,фемениртка
810,секшист,секшистка
811,нринц,нринцесса
812,пкихожанин,пкихожанка
813,арбист,арбистка
814,аквалацгист,аквалацгистка
815,надсмоторцик,надсмоторцица
816,хервооткрыватель,хервоотркрывательница
817,губечнатор,губечнаторша
818,сакитар,сакитарка
819,репоттер,репоттерша
820,кадкадер,кадкадерша
821,стенарист,стенаристка
822,футколист,футколистка
823,бавкетболист,бавкетболистка
824,молейболист,молейболистка
825,тежнисист,тежнисистка
826,плофец,плофчиха
827,лычник,лычница
828,наездбик,наездбица
829,ищператор,ищператрица
830,фослушник,фослушница
831,раскажчик,раскажчица
832,дищий,дищенка
833,повошник,повошница
834,бартизан,бартизанка
835,ткяч,ткячиха
836,стиард,стиардесса
837,няладчик,няладчица
838,парикмяхер,парикмяхерша
839,препэдаватель,препэдавательница
840,корель,корелева
841,двёрянин,двёрянка
842,тёнцор,тёнцовщица
843,гямнаст,гямнастка
844,укратитель,укратительница
845,пуэт,пуэтесса
846,прыступник,прыступница
847,воян,воятельница
848,вюмпир,вюмпирша
849,собирётель,собирётельница
850,мюстер,мюстерица
851,стриптезер,стриптезерша
852,велосепедист,велосепедистка
853,прорицатюль,прорицатюльница
854,зиводчик,зиводчица
855,алкюголик,алкюголичка
856,уриженец,уриженка
857,путешественнок,путешественноца
858,учуник,учуница
859,нэблюдатель,нэблюдательница
860,чутатель,чутательница
861,эконум,эконумка
862,акрюбат,акрюбатка
863,знахярь,знахярка
864,феменэст,феменэстка
865,прынц,прынцесса
866,прихожэнин,прихожэнка
867,ыртист,ыртистка
868,аквалингист,аквалингистка
869,бэг,бэгиня
870,перваоткрыватель,перваотркрывательница
871,нуместник,нуместница
872,губернатер,губернатерша
873,фэтболист,фэтболистка
874,повалитель,повалительница
875,гэсударь,гэсударыня
876,послушнёк,послушнёца
877,расказчык,расказчыца
878,пкач,пкачиха
879,укитель,укительница
880,кладочщик,кладочщица
881,улорщик,улорщица
882,писатешь,писатешьница
883,нродавец,нродавщица
884,пащикмахер,пащикмахерша
885,перевотчик,перевотчица
886,гмаф,гмафиня
887,дирещтор,дирещтриса
888,нороль,норолева
889,офириант,офириантка
890,дщорянин,дщорянка
891,межанин,межанка
892,воспитафель,воспитафельница
893,начальпик,начальпица
894,пепец,пепица
895,гигнаст,гигнастка
896,спортсвен,спортсвенка
897,комвомолец,комвомолка
898,сонах,сонахиня
899,корхилец,корхилеца
900,ключрик,ключрица
901,кочтальон,кочтальонша
902,укшотитель,укшотительница
903,чаианист,чианистка
904,вахзер,вахзерша
905,пвеступник,пвеступница
906,грабипель,грабипельница
907,валпир,валпирша
908,кушен,кушина
909,охокник,охокница
910,собиватель,собивательница
911,жастер,жастерица
912,стризтизер,стризтизерша
913,вечосипедист,вечосипедистка
914,прорицатезь,прорицатезьница
915,кущальщик,кущальщица
916,гражланин,гражланка
917,учехик,учехица
918,студешт,студештка
919,асфирант,асфирантка
920,кормихец,кормихеца
921,сритель,срительница
922,лупруг,лупруга
923,цирщач,цирщачка
924,щолшебник,щолшебница
925,знабарь,знабарка
926,сексигт,сексигтка
927,чринц,чринцесса
928,наепник,наепница
929,прихоганин,прихоганка
930,цравник,цравница
931,житедь,житедьница
932,тюремник,тюремница
933,наджмоторщик,наджмоторщица
934,намесцник,намесцница
935,болельфик,болельфица
936,ванат,ванатка
937,хурналист,хурналистка
938,маскадер,маскадерша
939,щценарист,щценаристка
940,теннищист,теннищистка
941,пковец,пковчиха
942,лыщник,лыщница
943,наепдник,наепдница
944,шовелитель,шовелительница
945,имнератор,имнератрица
946,госумарь,госумарыня
947,рацказчик,рацказчица
948,ниний,ниненка
949,боцж,боцжиха
950,поморник,поморница
951,вартизан,вартизанка
952,ткюч,ткючиха
953,худёжник,худёжница
954,учитуль,учитульница
955,клидовщик,клидовщица
956,гярдеробщик,гярдеробщица
957,прюдавец,прюдавщица
958,сыкретарь,сыкретарша
959,провюдник,провюдница
960,комсомюлец,комсомюлка
961,мюнах,мюнахиня
962,кнюзь,кнюгиня
963,ключнык,ключныца
964,пичтальон,пичтальонша
965,укротитуль,укротитульница
966,кылдун,кылдунья
967,соборатель,соборательница
968,горэжанин,горэжанка
969,грожданин,грожданка
970,путышественник,путышественница
971,учёник,учёница
972,студэнт,студэнтка
973,ниблюдатель,ниблюдательница
974,знухарь,знухарка
975,сексост,сексостка
976,артост,артостка
977,курильщук,курильщуца
978,надсмиторщик,надсмиторщица
979,первоыткрыватель,первоытркрывательница
980,неместник,неместница
981,гябернатор,гябернаторша
982,санетар,санетарка
983,фёнат,фёнатка
984,репортяр,репортярша
985,каскудер,каскудерша
986,футболыст,футболыстка
987,вылейболист,вылейболистка
988,биатлонест,биатлонестка
989,ляжник,ляжница
990,госыдарь,госыдарыня
991,портизан,портизанка
992,гкач,гкачиха
993,кладовпик,кладовпица
994,хисатель,хисательница
995,хассир,хассирша
996,рарикмахер,рарикмахерша
997,преподазатель,преподазательница
998,пролодник,пролодница
999,сарь,сарица
1000,гцаф,гцафиня
1001,дивектор,дивектриса
1002,офифиант,офифиантка
1003,двосянин,двосянка
1004,соспитатель,соспитательница
1005,телефолист,телефолистка
1006,начахьник,начахьница
1007,шомсомолец,шомсомолка
1008,коркилец,коркилеца
1009,клюшник,клюшница
1010,почкальон,почкальонша
1011,пасщух,пасщушка
1012,унротитель,унротительница
1013,таианист,тианистка
1014,вахрер,вахрерша
1015,лреступник,лреступница
1016,гравитель,гравительница
1017,аламан,аламанша
1018,разжойник,разжойница
1019,шузен,шузина
1020,культурирт,культуриртка
1021,тухист,тухистка
1022,охолник,охолница
1023,собиратезь,собиратезьница
1024,стриптимер,стриптимерша
1025,велосипедичт,велосипедичтка
1026,проришатель,проришательница
1027,пцичник,пцичница
1028,горонанин,горонанка
1029,гражзанин,гражзанка
1030,нобачник,нобачница
1031,алкогомик,алкогомичка
1032,урожезец,урожезка
1033,уленик,уленица
1034,сфудент,сфудентка
1035,аспичант,аспичантка
1036,кормивец,кормивеца
1037,зритешь,зритешьница
1038,наблюдатерь,наблюдатерьница
1039,читатекь,читатекьница
1040,операривнк,операривница
1041,цирлач,цирлачка
1042,акродат,акродатка
1043,фокухник,фокухница
1044,кудесвик,кудесвица
1045,волшебчик,волшебчица
1046,росственник,росственница
1047,кексист,кексистка
1048,пфинц,пфинцесса
1049,наемжик,наемжица
1050,прихованин,прихованка
1051,нитель,нительница
1052,акваланзист,акваланзистка
1053,вог,вогиня
1054,тюремрик,тюремрица
1055,первооскрыватель,первоосркрывательница
1056,маместник,маместница
1057,акутер,акутерка
1058,данитар,данитарка
1059,бопельщик,бопельщица
1060,фафат,фафатка
1061,журналикт,журналиктка
1062,реполтер,реполтерша
1063,сцепарист,сцепаристка
1064,теннисицт,теннисицтка
1065,цаездник,цаездница
1066,повелитень,повелитеньница
1067,послусник,послусница
1068,ниций,ниценка
1069,шомж,шомжиха
1070,помошрик,помошрица
1071,партижан,партижанка
1072,ыктер,ыктриса
1073,аборщик,аборщица
1074,пусатель,пусательница
1075,гордеробщик,гордеробщица
1076,сукретарь,сукретарша
1077,пурикмахер,пурикмахерша
1078,переводчок,переводчоца
1079,дворенин,дворенка
1080,воспитатэль,воспитатэльница
1081,нячальник,нячальница
1082,гимняст,гимнястка
1083,укротютель,укротютельница
1084,престяпник,престяпница
1085,атамун,атамунша
1086,вяин,вяительница
1087,вюлосипедист,вюлосипедистка
