,male,female
232,ервооткрыватель,ервоотркрывательница
233,аместник,аместница
234,убернатор,убернаторша
235,омещик,омещица
236,кушер,кушерка
237,анитар,анитарка
238,олельщик,олельщица
239,анат,анатка
240,урналист,урналистка
241,епортер,епортерша
242,аскадер,аскадерша
243,ценарист,ценаристка
244,утболист,утболистка
245,аскетболист,аскетболистка
246,олейболист,олейболистка
247,еннисист,еннисистка
248,ловец,ловчиха
249,иатлонист,иатлонистка
250,ыжник,ыжница
251,аездник,аездница
252,овелитель,овелительница
253,мператор,мператрица
254,осударь,осударыня
255,ослушник,ослушница
256,асказчик,асказчица
257,ищий,ищенка
258,омошник,омошница
259,озяин,озяйка
260,еволюционер,еволюционерка
261,артизан,артизанка
262,тлач,тлачиха
263,втюард,втюардесса
264,ащтер,ащтриса
265,каладчик,каладчица
266,хладовщик,хладовщица
267,гащдеробщик,гащдеробщица
268,рассир,рассирша
269,пекретарь,пекретарша
270,парижмахер,парижмахерша
271,вроводник,вроводница
272,цраф,црафиня
273,дидектор,дидектриса
274,кхестьнин,кхестьянка
275,офикиант,офикиантка
276,мворянин,мворянка
277,дещанин,дещанка
278,восчитатель,восчитательница
279,тефефонист,тефефонистка
280,нахальник,нахальница
281,тамцор,тамцовщица
282,мимнаст,мимнастка
283,сполтсмен,сполтсменка
284,коссомолец,коссомолка
285,кочмилец,кочмилеца
286,шлючник,шлючница
287,пахтух,пахтушка
288,укфотитель,укфотительница
289,ваштер,ваштерша
290,прещтупник,прещтупница
291,бор,боровка
292,назбойник,назбойница
293,чоин,чоительница
294,пладыка,пладычица
295,важпир,важпирша
296,добиратель,добирательница
297,мазтер,мазтерица
298,стлиптизер,стлиптизерша
299,прохицатель,прохицательница
300,рупальщик,рупальщица
301,ртичник,ртичница
302,шорожанин,шорожанка
303,грахданин,грахданка
304,саводчик,саводчица
305,тойщик,тойщица
306,упоженец,упоженка
307,кламовщик,кламовщица
308,цормилец,цормилеца
309,критель,крительница
310,субруг,субруга
311,эноном,энономка
312,хиркач,хиркачка
313,акпобат,акпобатка
314,фоцусник,фоцусница
315,возшебник,возшебница
316,рохственник,рохственница
317,чнахарь,чнахарка
318,сринц,сринцесса
319,птихожанин,птихожанка
320,тпавник,тпавница
321,хитель,хительница
322,абвалангист,абвалангистка
323,мог,могиня
324,кудильщик,кудильщица
325,рюремщик,рюремщица
326,червооткрыватель,червоотркрывательница
327,ваместник,ваместница
328,гухернатор,гухернаторша
329,ашушер,ашушерка
330,фолельщик,фолельщица
331,журмалист,журмалистка
332,касдадер,касдадерша
333,жценарист,жценаристка
334,паскетболист,паскетболистка
335,неннисист,неннисистка
336,риатлонист,риатлонистка
337,имбератор,имбератрица
338,цосударь,цосударыня
339,поспушник,поспушница
340,дасказчик,дасказчица
341,фомж,фомжиха
342,домошник,домошница
343,хочяин,хочяйка
344,лартизан,лартизанка
345,стоард,стоардесса
346,худяжник,худяжница
347,клодовщик,клодовщица
348,кяссир,кяссирша
349,прыводник,прыводница
350,доректор,доректриса
351,ефициант,ефициантка
352,мящанин,мящанка
353,вяспитатель,вяспитательница
354,тялефонист,тялефонистка
355,грябитель,грябительница
356,ётаман,ётаманша
357,розбойник,розбойница
358,вэин,вэительница
359,влэдыка,влэдычица
360,кязен,кязина
361,ихотник,ихотница
362,собыратель,собырательница
363,струптизер,струптизерша
364,велосэпедист,велосэпедистка
365,прерицатель,прерицательница
366,гёрожанин,гёрожанка
367,себачник,себачница
368,олкоголик,олкоголичка
369,уриженец,уриженка
370,учоник,учоница
371,стидент,стидентка
372,наблидатель,наблидательница
373,опёративнк,опёративница
374,цёркач,цёркачка
375,кядесник,кядесница
376,знёхарь,знёхарка
377,наамник,наамница
378,прохожанин,прохожанка
379,жетель,жетельница
380,тюрюмщик,тюрюмщица
381,намёстник,намёстница
382,гобернатор,гобернаторша
383,ыкушер,ыкушерка
384,сянитар,сянитарка
385,болальщик,болальщица
386,рипортер,рипортерша
387,фытболист,фытболистка
388,плювец,плювчиха
389,биутлонист,биутлонистка
390,нёездник,нёездница
391,госядарь,госядарыня
392,помашник,помашница
393,ревелюционер,ревелюционерка
394,тфач,тфачиха
395,урорщик,урорщица
396,прогавец,прогавщица
397,кашсир,кашсирша
398,серретарь,серретарша
399,пговодник,пговодница
400,шереводчик,шереводчица
401,зарь,зарица
402,косоль,косолева
403,жрестьнин,жрестьянка
404,чещанин,чещанка
405,чевец,чевица
406,вомсомолец,вомсомолка
407,кжязь,кжягиня
408,бормилец,бормилеца
409,рлючник,рлючница
410,точтальон,точтальонша
411,ластух,ластушка
412,тевеграфист,тевеграфистка
413,вазтер,вазтерша
414,преттупник,преттупница
415,кор,коровка
416,фрабитель,фрабительница
417,азаман,азаманша
418,втадыка,втадычица
419,рампир,рампирша
420,щузен,щузина
421,куфьтурист,куфьтуристка
422,тугист,тугистка
423,робиратель,робирательница
424,фтриптизер,фтриптизерша
425,вещосипедист,вещосипедистка
426,промицатель,промицательница
427,раздедчик,раздедчица
428,кухальщик,кухальщица
429,бтичник,бтичница
430,гоможанин,гоможанка
431,цражданин,цражданка
432,софачник,софачница
433,зашодчик,зашодчица
434,алвоголик,алвоголичка
435,уроменец,уроменка
436,ктадовщик,ктадовщица
437,хтудент,хтудентка
438,афпирант,афпирантка
439,жормилец,жормилеца
440,саблюдатель,саблюдательница
441,опенативнк,опенативница
442,абробат,абробатка
443,рудесник,рудесница
444,вочшебник,вочшебница
445,родктвенник,родктвенница
446,зхахарь,зхахарка
447,веменист,веменистка
448,чексист,чексистка
449,мринц,мринцесса
450,пнихожанин,пнихожанка
451,правник,правница
452,шитель,шительница
453,арбист,арбистка
454,адвалангист,адвалангистка
455,фог,фогиня
456,нахестник,нахестница
457,хубернатор,хубернаторша
458,пошещик,пошещица
459,сабитар,сабитарка
460,жанат,жанатка
461,касбадер,касбадерша
462,сцегарист,сцегаристка
463,футнолист,футнолистка
464,баскещболист,баскещболистка
465,вощейболист,вощейболистка
466,зловец,зловчиха
467,щыжник,щыжница
468,щаездник,щаездница
469,повебитель,повебительница
470,шаб,шабыня
471,постушник,постушница
472,ражказчик,ражказчица
473,щищий,щищенка
474,хохяин,хохяйка
475,меволюционер,меволюционерка
476,пачтизан,пачтизанка
477,яктер,яктриса
478,песатель,песательница
479,гордеробщик,гордеробщица
480,препыдаватель,препыдавательница
481,пареводчик,пареводчица
482,цирь,цирица
483,деректор,деректриса
484,фигёрист,фигёристка
485,комсамолец,комсамолка
486,мынах,мынахиня
487,укрутитель,укрутительница
488,приступник,приступница
489,вёин,вёительница
490,кулдун,кулдунья
491,тарист,таристка
492,стряптизер,стряптизерша
493,вялосипедист,вялосипедистка
494,купельщик,купельщица
495,гряжданин,гряжданка
496,собечник,собечница
497,завадчик,завадчица
498,мыйщик,мыйщица
499,алкаголик,алкаголичка
500,ураженец,ураженка
501,путешуственник,путешуственница
502,эченик,эченица
503,стедент,стедентка
504,кярмилец,кярмилеца
505,зретель,зретельница
506,набладатель,набладательница
507,факусник,факусница
508,кедесник,кедесница
509,наымник,наымница
510,прухожанин,прухожанка
511,жятель,жятельница
512,юквалангист,юквалангистка
513,фёнат,фёнатка
514,сцанарист,сцанаристка
515,фятболист,фятболистка
516,эмператор,эмператрица
517,госэдарь,госэдарыня
518,нущий,нущенка
519,пыртизан,пыртизанка
520,говар,говариха
521,фкач,фкачиха
522,бтюард,бтюардесса
523,увитель,увительница
524,назадчик,назадчица
525,лладовщик,лладовщица
526,ухорщик,ухорщица
527,пиматель,пимательница
528,гандеробщик,гандеробщица
529,секщетарь,секщетарша
530,жарикмахер,жарикмахерша
531,ппеподаватель,ппеподавательница
532,хроводник,хроводница
533,ререводчик,ререводчица
534,гчаф,гчафиня
535,щиректор,щиректриса
536,мороль,моролева
537,кжестьнин,кжестьянка
538,цворянин,цворянка
539,вещанин,вещанка
540,вощпитатель,вощпитательница
541,хелефонист,хелефонистка
542,такцор,такцовщица
543,комшомолец,комшомолка
544,ксязь,ксягиня
545,корсилец,корсилеца
546,слючник,слючница
547,поттальон,поттальонша
548,дастух,дастушка
549,маианист,мианистка
550,тоэт,тоэтесса
551,фор,форовка
552,срабитель,срабительница
553,расбойник,расбойница
554,моин,моительница
555,вфадыка,вфадычица
556,сузен,сузина
557,пастер,пастерица
558,велошипедист,велошипедистка
559,базведчик,базведчица
560,нупальщик,нупальщица
561,градданин,градданка
562,сокачник,сокачница
563,занодчик,занодчица
564,алроголик,алроголичка
565,урокенец,урокенка
566,клацовщик,клацовщица
567,путесественник,путесественница
568,уреник,уреница
569,фтудент,фтудентка
570,колмилец,колмилеца
571,вритель,врительница
572,натлюдатель,натлюдательница
573,щитатель,щитательница
574,ацробат,ацробатка
575,кулесник,кулесница
576,рофственник,рофственница
577,лнахарь,лнахарка
578,цексист,цексистка
579,пхинц,пхинцесса
580,цаемник,цаемница
581,крихожанин,крихожанка
582,бравник,бравница
583,жичель,жичельница
584,вог,вогиня
585,мурильщик,мурильщица
586,чубернатор,чубернаторша
587,чанат,чанатка
588,жупналист,жупналистка
589,касмадер,касмадерша
590,нценарист,нценаристка
591,футшолист,футшолистка
592,баскецболист,баскецболистка
593,долейболист,долейболистка
594,тенкисист,тенкисистка
595,похелитель,похелительница
596,имлератор,имлератрица
597,хаб,хабыня
598,ломошник,ломошница
599,парнизан,парнизанка
600,пявар,пявариха
601,октер,октриса
602,эчитель,эчительница
603,убарщик,убарщица
604,гардыробщик,гардыробщица
605,прэподаватель,прэподавательница
606,фягурист,фягуристка
607,комсюмолец,комсюмолка
608,пээт,пээтесса
609,прэступник,прэступница
610,вяин,вяительница
611,кизен,кизина
612,кальтурист,кальтуристка
613,охэтник,охэтница
614,велосапедист,велосапедистка
615,купэльщик,купэльщица
616,зяводчик,зяводчица
617,алкыголик,алкыголичка
618,путешиственник,путешиственница
619,стодент,стодентка
620,аспёрант,аспёрантка
621,сэпруг,сэпруга
622,зныхарь,зныхарка
623,соксист,соксистка
624,куральщик,куральщица
625,первоуткрыватель,первоутркрывательница
626,намыстник,намыстница
627,сунитар,сунитарка
628,ряпортер,ряпортерша
629,фитболист,фитболистка
630,бюатлонист,бюатлонистка
631,жовар,жовариха
632,тщач,тщачиха
633,сфюард,сфюардесса
634,афтер,афтриса
635,хувожник,хувожница
636,халадчик,халадчица
637,кфадовщик,кфадовщица
638,пилатель,пилательница
639,гагдеробщик,гагдеробщица
640,вродавец,вродавщица
641,казсир,казсирша
642,некретарь,некретарша
643,марикмахер,марикмахерша
644,фереводчик,фереводчица
645,драф,драфиня
646,дороль,доролева
647,грестьнин,грестьянка
648,двочянин,двочянка
649,метанин,метанка
650,мелефонист,мелефонистка
651,ланцор,ланцовщица
652,гигнаст,гигнастка
653,комтомолец,комтомолка
654,хонах,хонахиня
655,кпязь,кпягиня
656,корвилец,корвилеца
657,почбальон,почбальонша
658,частух,частушка
659,укроритель,укрорительница
660,щаианист,щианистка
661,хоэт,хоэтесса
662,шахтер,шахтерша
663,префтупник,префтупница
664,графитель,графительница
665,ажаман,ажаманша
666,тладыка,тладычица
667,хампир,хампирша
668,зузен,зузина
669,цультурист,цультуристка
670,собипатель,собипательница
671,разчедчик,разчедчица
672,хорожанин,хорожанка
673,гразданин,гразданка
674,цаводчик,цаводчица
675,ажкоголик,ажкоголичка
676,младовщик,младовщица
677,путегественник,путегественница
678,сгудент,сгудентка
679,сормилец,сормилеца
680,чичатель,чичательница
681,огеративнк,огеративница
682,сунруг,сунруга
683,рокусник,рокусница
684,щолшебник,щолшебница
685,щодственник,щодственница
686,звахарь,звахарка
687,фетенист,фетенистка
688,пшинц,пшинцесса
689,гравник,гравница
690,жилель,жилельница
691,лог,логиня
692,фурильщик,фурильщица
693,тючемщик,тючемщица
694,набсмоторщик,набсмоторщица
695,первоохкрыватель,первоохркрывательница
696,амушер,амушерка
697,фанитар,фанитарка
698,цанат,цанатка
699,жужналист,жужналистка
700,ремортер,ремортерша
701,гценарист,гценаристка
702,бачкетболист,бачкетболистка
703,телнисист,телнисистка
704,нловец,нловчиха
705,фаб,фабыня
706,поллушник,поллушница
707,номошник,номошница
708,хокяин,хокяйка
709,парсизан,парсизанка
710,учётель,учётельница
711,нэладчик,нэладчица
712,писэтель,писэтельница
713,гурдеробщик,гурдеробщица
714,кыссир,кыссирша
715,дирёктор,дирёктриса
716,куроль,куролева
717,телофонист,телофонистка
718,фигэрист,фигэристка
719,ёкротитель,ёкротительница
720,тилеграфист,тилеграфистка
721,пёэт,пёэтесса
722,грибитель,грибительница
723,эхотник,эхотница
724,мыстер,мыстерица
725,рэзведчик,рэзведчица
726,капальщик,капальщица
727,грёжданин,грёжданка
728,зеводчик,зеводчица
729,мюйщик,мюйщица
730,елкоголик,елкоголичка
731,учуник,учуница
732,нублюдатель,нублюдательница
733,царкач,царкачка
734,фикусник,фикусница
735,фюменист,фюменистка
736,саксист,саксистка
737,наомник,наомница
738,прихыжанин,прихыжанка
739,кускадер,кускадерша
740,тиннисист,тиннисистка
741,биютлонист,биютлонистка
742,ноездник,ноездница
743,пёвелитель,пёвелительница
744,умператор,умператрица
745,гюсударь,гюсударыня
746,рэсказчик,рэсказчица
747,нэщий,нэщенка
748,бемж,бемжиха
749,револёционер,револёционерка
750,чкач,чкачиха
751,сзюард,сзюардесса
752,вудожник,вудожница
753,промавец,промавщица
754,сексетарь,сексетарша
755,траф,трафиня
756,дивектор,дивектриса
757,коволь,коволева
758,ккестьнин,ккестьянка
759,двосянин,двосянка
760,воцпитатель,воцпитательница
761,шелефонист,шелефонистка
762,нашальник,нашальница
763,ташцор,ташцовщица
764,фивурист,фивуристка
765,схортсмен,схортсменка
766,донах,донахиня
767,рнязь,рнягиня
768,коргилец,коргилеца
769,почгальон,почгальонша
770,пактух,пактушка
771,ухротитель,ухротительница
772,щреступник,щреступница
773,нор,норовка
774,гдабитель,гдабительница
775,разфойник,разфойница
776,лолдун,лолдунья
777,щладыка,щладычица
778,вачпир,вачпирша
779,тузен,тузина
780,хультурист,хультуристка
781,тусист,тусистка
782,лобиратель,лобирательница
783,мащтер,мащтерица
784,пщорицатель,пщорицательница
785,ракведчик,ракведчица
786,чупальщик,чупальщица
787,грамданин,грамданка
788,ачкоголик,ачкоголичка
789,путешебтвенник,путешебтвенница
790,бтудент,бтудентка
791,ашпирант,ашпирантка
792,кобмилец,кобмилеца
793,питатель,питательница
794,сузруг,сузруга
795,эжоном,эжономка
796,цибкач,цибкачка
797,родсфвенник,родсфвенница
798,фефенист,фефенистка
799,щринц,щринцесса
800,прирожанин,прирожанка
801,цравник,цравница
802,жинель,жинельница
803,актист,актистка
804,атвалангист,атвалангистка
805,куцильщик,куцильщица
806,фубернатор,фубернаторша
807,танат,танатка
808,шценарист,шценаристка
809,фунболист,фунболистка
810,баскекболист,баскекболистка
811,вогейболист,вогейболистка
812,птовец,птовчиха
813,биатвонист,биатвонистка
814,мыжник,мыжница
815,имфератор,имфератрица
816,гощударь,гощударыня
817,чаб,чабыня
818,басказчик,басказчица
819,фозяин,фозяйка
820,пацтизан,пацтизанка
821,пэвар,пэвариха
822,ачитель,ачительница
823,убярщик,убярщица
824,пясатель,пясательница
825,перяводчик,перяводчица
826,кёроль,кёролева
827,двирянин,двирянка
828,воспэтатель,воспэтательница
829,фэгурист,фэгуристка
830,кюрмилец,кюрмилеца
831,тёлеграфист,тёлеграфистка
832,вяхтер,вяхтерша
833,ваин,ваительница
834,калдун,калдунья
835,вумпир,вумпирша
836,охытник,охытница
837,вюлосипедист,вюлосипедистка
838,гярожанин,гярожанка
839,сюбачник,сюбачница
840,ёлкоголик,ёлкоголичка
841,петешественник,петешественница
842,нюблюдатель,нюблюдательница
843,аперативнк,аперативница
844,экёном,экёномка
845,икробат,икробатка
846,сяксист,сяксистка
847,уртист,уртистка
848,надсмыторщик,надсмыторщица
849,акяшер,акяшерка
850,синитар,синитарка
851,фэнат,фэнатка
852,жярналист,жярналистка
853,лужник,лужница
854,нащий,нащенка
855,бёмж,бёмжиха
856,хёзяин,хёзяйка
857,вовар,вовариха
858,тпач,тпачиха
859,счюард,счюардесса
860,кудожник,кудожница
861,жладовщик,жладовщица
862,нардеробщик,нардеробщица
863,нродавец,нродавщица
864,пачикмахер,пачикмахерша
865,птеподаватель,птеподавательница
866,прощодник,прощодница
867,щарь,щарица
868,сраф,срафиня
869,динектор,динектриса
870,ррестьнин,ррестьянка
871,ощициант,ощициантка
872,межанин,межанка
873,щоспитатель,щоспитательница
874,тепефонист,тепефонистка
875,гивнаст,гивнастка
876,сповтсмен,сповтсменка
877,сомсомолец,сомсомолка
878,гонах,гонахиня
879,кшязь,кшягиня
880,коркилец,коркилеца
881,тлючник,тлючница
882,кочтальон,кочтальонша
883,соэт,соэтесса
884,гвабитель,гвабительница
885,ралбойник,ралбойница
886,вжадыка,вжадычица
887,вагпир,вагпирша
888,кульвурист,кульвуристка
889,журист,журистка
890,созиратель,созирательница
891,мачтер,мачтерица
892,сзриптизер,сзриптизерша
893,велотипедист,велотипедистка
894,разледчик,разледчица
895,гожожанин,гожожанка
896,глажданин,глажданка
897,кобачник,кобачница
898,маводчик,маводчица
899,фладовщик,фладовщица
900,птудент,птудентка
901,чритель,чрительница
902,чицатель,чицательница
903,сужруг,сужруга
904,арробат,арробатка
905,щудесник,щудесница
906,родбтвенник,родбтвенница
907,згахарь,згахарка
908,чеменист,чеменистка
909,сещсист,сещсистка
910,пгинц,пгинцесса
911,антист,антистка
912,аквагангист,аквагангистка
913,жог,жогиня
914,цурильщик,цурильщица
915,зюремщик,зюремщица
916,надтмоторщик,надтмоторщица
917,нафестник,нафестница
918,вубернатор,вубернаторша
919,хомещик,хомещица
920,манитар,манитарка
921,щолельщик,щолельщица
922,ланат,ланатка
923,дурналист,дурналистка
924,кценарист,кценаристка
925,кутболист,кутболистка
926,бащкетболист,бащкетболистка
927,тепнисист,тепнисистка
928,шловец,шловчиха
929,лынник,лынница
930,маездник,маездница
931,повевитель,повевительница
932,имцератор,имцератрица
933,наб,набыня
934,поцлушник,поцлушница
935,раслазчик,раслазчица
936,зомж,зомжиха
937,посошник,посошница
938,убурщик,убурщица
939,пярикмахер,пярикмахерша
940,прюподаватель,прюподавательница
941,крюстьнин,крюстьянка
942,мащанин,мащанка
943,воспятатель,воспятательница
944,нячальник,нячальница
945,тёнцор,тёнцовщица
946,комсямолец,комсямолка
947,клучник,клучница
948,пючтальон,пючтальонша
949,пюстух,пюстушка
950,вэхтер,вэхтерша
951,прыступник,прыступница
952,козен,козина
953,охятник,охятница
954,сыбиратель,сыбирательница
955,прорацатель,прорацательница
956,алкэголик,алкэголичка
957,путешэственник,путешэственница
958,учиник,учиница
959,аспарант,аспарантка
960,зрётель,зрётельница
961,наблэдатель,наблэдательница
962,чэтатель,чэтательница
963,сипруг,сипруга
964,аконом,акономка
965,кудёсник,кудёсница
966,рудственник,рудственница
967,жотель,жотельница
968,курульщик,курульщица
969,ниместник,ниместница
970,пемещик,пемещица
971,репяртер,репяртерша
972,бяатлонист,бяатлонистка
973,ныщий,ныщенка
974,бумж,бумжиха
975,помешник,помешница
976,хязяин,хязяйка
977,гкач,гкачиха
978,жтюард,жтюардесса
979,нафадчик,нафадчица
980,клазовщик,клазовщица
981,хисатель,хисательница
982,рродавец,рродавщица
983,секлетарь,секлетарша
984,сарикмахер,сарикмахерша
985,прецодаватель,прецодавательница
986,вереводчик,вереводчица
987,жраф,жрафиня
988,бороль,боролева
989,лворянин,лворянка
990,хещанин,хещанка
991,вовпитатель,вовпитательница
992,хачальник,хачальница
993,цанцор,цанцовщица
994,сгортсмен,сгортсменка
995,комкомолец,комкомолка
996,умротитель,умротительница
997,тебеграфист,тебеграфистка
998,гоэт,гоэтесса
999,вачтер,вачтерша
1000,лреступник,лреступница
1001,рор,роровка
1002,разжойник,разжойница
1003,шолдун,шолдунья
1004,рладыка,рладычица
1005,хузен,хузина
1006,собичатель,собичательница
1007,зтриптизер,зтриптизерша
1008,разхедчик,разхедчица
1009,гшажданин,гшажданка
1010,вобачник,вобачница
1011,алцоголик,алцоголичка
1012,путешентвенник,путешентвенница
1013,копмилец,копмилеца
1014,эчоном,эчономка
1015,аклобат,аклобатка
1016,чудесник,чудесница
1017,зшахарь,зшахарка
1018,вексист,вексистка
1019,пзинц,пзинцесса
1020,каемник,каемница
1021,прибожанин,прибожанка
1022,тлавник,тлавница
1023,дитель,дительница
1024,зог,зогиня
1025,саместник,саместница
1026,жаскадер,жаскадерша
1027,свенарист,свенаристка
1028,фуцболист,фуцболистка
1029,вовейболист,вовейболистка
1030,провец,провчиха
1031,лысник,лысница
1032,ибператор,ибператрица
1033,дослушник,дослушница
1034,рапказчик,рапказчица
1035,фищий,фищенка
1036,лозяин,лозяйка
1037,паптизан,паптизанка
1038,ёборщик,ёборщица
1039,прудавец,прудавщица
1040,кэссир,кэссирша
1041,пурикмахер,пурикмахерша
1042,церь,церица
1043,ифициант,ифициантка
1044,павец,павица
1045,тюнцор,тюнцовщица
1046,фигирист,фигиристка
1047,гумнаст,гумнастка
1048,пустух,пустушка
1049,отаман,отаманша
1050,ехотник,ехотница
1051,прэрицатель,прэрицательница
1052,субачник,субачница
1053,яроженец,яроженка
1054,яченик,яченица
1055,экяном,экяномка
1056,фякусник,фякусница
1057,кёдесник,кёдесница
1058,фемэнист,фемэнистка
1059,прихежанин,прихежанка
1060,юртист,юртистка
1061,аквилангист,аквилангистка
1062,кирильщик,кирильщица
1063,таремщик,таремщица
1064,гебернатор,гебернаторша
1065,жюрналист,жюрналистка
1066,кыскадер,кыскадерша
1067,лажник,лажница
1068,ымператор,ымператрица
1069,госюдарь,госюдарыня
1070,мкач,мкачиха
1071,сщюард,сщюардесса
1072,будожник,будожница
1073,дладовщик,дладовщица
1074,уморщик,уморщица
1075,галдеробщик,галдеробщица
1076,пводавец,пводавщица
1077,секнетарь,секнетарша
1078,храф,храфиня
1079,ревец,ревица
1080,тадцор,тадцовщица
1081,чимнаст,чимнастка
1082,хомсомолец,хомсомолка
1083,знязь,знягиня
1084,коршилец,коршилеца
1085,злючник,злючница
1086,почшальон,почшальонша
